n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
700,0.1,DP-GRAMS-C,0.294921015453371,0.1850359686305896,0.43773696251267635,0.19535942007473195,25.886051163959458,8.352122803137457,0.012798595428466796,0.003307362348243217
700,0.1,DP-KMeans,0.49748511989305183,0.15289531565829848,0.6419871659938856,0.12432218367035205,1.6612568204400353,0.7190879584447109,0.007037758827209473,0.0004146939650764673
700,0.2,DP-GRAMS-C,0.45178518493338665,0.16189930242888056,0.6317834530335231,0.11616789576659005,5.291655015122805,2.276001707080386,0.011877775192260742,0.00022960108548028828
700,0.2,DP-KMeans,0.5611765361969694,0.14961814383226285,0.7013630804473061,0.10041945895726409,1.3939619527360367,0.5774661383165429,0.006875050067901611,0.0006495011363911324
700,0.5,DP-GRAMS-C,0.8323613229702754,0.10746717216428141,0.8613695768163565,0.0642436380659296,0.25075013528342416,0.42666055272520276,0.012127125263214111,0.0003061075467282709
700,0.5,DP-KMeans,0.637088638185401,0.14250410741141503,0.7413005167778148,0.09238317357629262,0.9836335943052408,0.581754864459659,0.0066858410835266115,0.0005163964826863985
700,1.0,DP-GRAMS-C,0.9395904773770931,0.02808770008345563,0.9288559822649886,0.02026002674962685,0.024307092897597336,0.018754493946543754,0.011926889419555664,9.074298754192773e-05
700,1.0,DP-KMeans,0.7003774639237619,0.1716246017998461,0.787843334270112,0.10088549800941751,0.730278592653953,0.6745968987823358,0.006724059581756592,0.0005481045673654284
700,5.0,DP-GRAMS-C,0.9564598651981523,0.004912343415486082,0.9406012407059444,0.005419056328618937,0.0030063047748623848,0.0018261220427864947,0.011987221240997315,0.0001499558293114867
700,5.0,DP-KMeans,0.7637889321950495,0.16812755949226033,0.8238390662900061,0.09815088231394216,0.5424361081410105,0.6069112655904988,0.012011253833770752,0.0012521939076838428
1000,0.1,DP-GRAMS-C,0.3232924364100723,0.16278245607464364,0.48561762977800627,0.14908613202711746,25.546794241356473,9.810159885272391,0.018307030200958252,0.00016459417847434265
1000,0.1,DP-KMeans,0.5452083543902341,0.12675852617942246,0.6708288729501922,0.10700479239164414,2.121284255418052,1.2760106924407226,0.007537317276000976,0.0004416856735001331
1000,0.2,DP-GRAMS-C,0.5691483132126693,0.11080554934408954,0.6888749815599087,0.09043529942102681,5.610574264972232,4.147479056155999,0.01837632656097412,0.000309475928282557
1000,0.2,DP-KMeans,0.5318167939336808,0.1193773972405107,0.655880021970621,0.11315580123091289,1.465641041760668,0.6428459515608582,0.00727846622467041,0.00035664808090890565
1000,0.5,DP-GRAMS-C,0.7776282619715918,0.08839687957870805,0.8293388137150298,0.050728907205131284,0.16132367695157332,0.18262574726990138,0.018152737617492677,0.0001291145869151791
1000,0.5,DP-KMeans,0.610317076440803,0.11498713256659279,0.7160477487845744,0.09778904987588347,1.1789056908879463,0.9083301301277952,0.007296073436737061,0.0004155854108398949
1000,1.0,DP-GRAMS-C,0.8867064943272529,0.017303286534595386,0.8867114414231787,0.011354326410045277,0.02009359870020317,0.014593056382123883,0.01896456480026245,0.0023883297835884656
1000,1.0,DP-KMeans,0.6791454811194524,0.07378923958718057,0.7740258862971473,0.059690510533804565,0.7307736676254687,0.5287118343682664,0.007161927223205566,0.0004198271599210919
1000,5.0,DP-GRAMS-C,0.8859897336915143,0.007145237564685859,0.8861896708191488,0.004313326128213403,0.005532084362224749,0.0024146868302920366,0.023687219619750975,0.004710706203723116
1000,5.0,DP-KMeans,0.7670927722963884,0.10137399588891918,0.8308313200384096,0.049593036545986284,0.3751675370352311,0.46804687307530507,0.0195625901222229,0.0022158298843413617
2000,0.1,DP-GRAMS-C,0.5159187163376727,0.19660453777715203,0.64870630520741,0.18715355878559048,6.172167062925237,2.899167572879965,0.053268051147460936,0.003805495213178297
2000,0.1,DP-KMeans,0.4713324698161225,0.14668784860391731,0.6112439088121302,0.12813421792911367,1.6711632600386754,0.6968201164675428,0.008293724060058594,0.00027477360188271887
2000,0.2,DP-GRAMS-C,0.6858082040452931,0.025948734819820404,0.7780060041201424,0.034141378655101196,0.4758167838955738,0.4807972642469852,0.05259027481079102,0.0019902045849477857
2000,0.2,DP-KMeans,0.5992864487550774,0.09317135743300786,0.7093877916833787,0.09730601878540467,1.2392979825873942,0.5191436641899883,0.008355855941772461,0.0007364020268635505
2000,0.5,DP-GRAMS-C,0.7009880559148509,0.02511857086108364,0.7761507554630841,0.010282175573417237,0.09094592267223753,0.19511733101662695,0.05150859355926514,0.001032201413201879
