Algorithm,Eps_modes,Run,Seed,ARI,NMI,MSE,Runtime_s,timestamp
DP-KMeans,0.001,6,1047,0.1089560002613474,0.18991144258548406,1222.8086740407132,0.5216331481933594,2025-12-06 13:41:06
DP-KMeans,0.001,0,1041,0.07455263805481899,0.18581893601088306,1166.5338829391428,0.6770260334014893,2025-12-06 13:41:06
DP-KMeans,0.001,4,1045,0.07258899391465962,0.16236382833975893,1073.6370516111876,0.6186647415161133,2025-12-06 13:41:06
DP-KMeans,0.001,2,1043,0.05953524143035919,0.18520725489458228,1019.8039539646263,0.6672370433807373,2025-12-06 13:41:06
DP-KMeans,0.001,7,1048,0.00866066501756488,0.10364026126240793,1129.1798328814064,0.6361639499664307,2025-12-06 13:41:06
DP-KMeans,0.001,3,1044,0.01401738571156982,0.12300364688844334,1149.3261538591466,0.6707329750061035,2025-12-06 13:41:06
DP-KMeans,0.001,1,1042,0.07320654325308813,0.2038742723442863,998.2010365622067,0.7226340770721436,2025-12-06 13:41:06
DP-KMeans,0.001,5,1046,0.07797787984319257,0.17874315755570727,1014.0078111363176,0.6881728172302246,2025-12-06 13:41:06
DP-KMeans,0.001,8,1049,0.07465448772748676,0.18912553665892148,858.5925359845617,0.6624951362609863,2025-12-06 13:41:06
DP-KMeans,0.001,9,1050,0.07049091214437739,0.17153279322934514,941.7744658530315,0.6571159362792969,2025-12-06 13:41:06
DP-KMeans,0.001,12,1053,0.05338168429307753,0.15017642347084553,1163.82849495338,0.6146302223205566,2025-12-06 13:41:07
DP-KMeans,0.001,11,1052,0.03447549648949921,0.13232395251499898,1023.8334058744147,0.6276469230651855,2025-12-06 13:41:07
DP-KMeans,0.001,10,1051,0.08259411443752974,0.18771790497925434,1190.735000305377,0.656796932220459,2025-12-06 13:41:07
DP-KMeans,0.001,14,1055,0.06174422761205148,0.15375435308843366,1135.4030182789916,0.6261007785797119,2025-12-06 13:41:07
DP-KMeans,0.001,15,1056,0.04074060961605449,0.160681128285341,1062.6624130390385,0.6044471263885498,2025-12-06 13:41:07
DP-KMeans,0.001,13,1054,0.10228815293659904,0.19401404396965422,974.5037615495078,0.6665630340576172,2025-12-06 13:41:07
DP-KMeans,0.001,16,1057,0.03973775284359674,0.11799654737022945,1199.6645843215235,0.41294384002685547,2025-12-06 13:41:07
DP-KMeans,0.001,17,1058,0.06803844409404293,0.19570668002051442,1118.053594451405,0.4686720371246338,2025-12-06 13:41:07
DP-KMeans,0.001,19,1060,0.005987324443749456,0.11255958191710187,1170.3907659337706,0.435499906539917,2025-12-06 13:41:07
