n,epsilon,delta,beta,n_runs,p0,clip_mult,h_shared_beta_rule,gauss_mse_mean,gauss_mse_sd,gauss_time_mean,gauss_time_sd,order4_mse_mean,order4_mse_sd,order4_time_mean,order4_time_sd,order4_phat_nonpos_rate_mean,order4_phat_min_min
700,0.2,1e-06,4,20,0.1,1.0,0.855353077519895,0.0799432973139779,0.03974045272417059,0.015769677178468555,0.0020996354561251124,0.1806476959453972,0.08379488634792635,0.15212848348310218,0.008600574873801385,0.7109183673469387,-0.02938400122617381
1000,0.2,1e-06,4,20,0.1,1.0,0.8057478444078309,0.04042390062689334,0.024638961661780725,0.02404312908183783,0.0006880932799131957,0.04775677737029045,0.0191519191691147,0.24795110421255231,0.008806939043582955,0.6277142857142858,-0.030167073482481696
2000,0.2,1e-06,4,20,0.1,1.0,0.7260344083246495,0.012053712006043604,0.00444023469273698,0.06405314158182591,0.0012401854282355438,0.013237376234654794,0.005429256351338542,0.6721866624895483,0.011072313459122084,0.49896874999999996,-0.018786704691212595
5000,0.2,1e-06,4,20,0.1,1.0,0.6293643440451727,0.007001628348148767,0.003946339732620755,0.24472237090812995,0.0019682252701389764,0.002920655066933829,0.0010477401227818723,2.3312123645679095,0.06524407622600707,0.2127666666666667,-0.014514944108561193
700,0.5,1e-06,4,20,0.1,1.0,0.7342130298276988,0.04359158442054174,0.022309436741491544,0.014829045732039959,0.00035567246649244886,0.08077520043375394,0.033105159425660086,0.1814169875229709,0.004662013467362227,0.6022448979591836,-0.05548658229281063
1000,0.5,1e-06,4,20,0.1,1.0,0.6916331766001633,0.02289220872286058,0.010294776085456907,0.022919872764032335,0.000507233563648237,0.035761253988345884,0.020245630192352936,0.2765616895747371,0.006071552134865727,0.5287857142857144,-0.032988379646183584
2000,0.5,1e-06,4,20,0.1,1.0,0.6232092181638322,0.011810079173793352,0.004617616103533347,0.05951292705722153,0.0006326096044590358,0.006078434220917723,0.002764409858636893,0.7122387478244491,0.004826072202865197,0.36750000000000005,-0.032741872123780776
5000,0.5,1e-06,4,20,0.1,1.0,0.5402301272437762,0.007534841099268763,0.002515247485574275,0.23603502074256538,0.0011859077201897752,0.0018340059331810505,0.0006995369517900091,2.3391024769167417,0.0582866724399174,0.16403333333333334,-0.020578853041529756
700,1.0,1e-06,4,20,0.1,1.0,0.6541094471154315,0.01994382849249154,0.010016771993112064,0.01573237912962213,0.004659875300971781,0.05485418487701095,0.02710121027903415,0.19046971458010375,0.0036564141843557396,0.5413265306122448,-0.04466859018968867
1000,1.0,1e-06,4,20,0.1,1.0,0.6161751104564164,0.016320537811389882,0.00426497794285329,0.02186443321406841,0.0003472628182600355,0.022236679017398297,0.015060820264558086,0.28813519797986376,0.004154307002073191,0.47607142857142853,-0.04132027960648452
2000,1.0,1e-06,4,20,0.1,1.0,0.5727742909492642,0.011145563233608347,0.0042802209729741105,0.05742704985896126,0.0006387346705890399,0.004058200530216461,0.0016944714928894564,0.7212999438634142,0.007125190950638245,0.32368749999999996,-0.0362629789268687
5000,1.0,1e-06,4,20,0.1,1.0,0.5286066829016156,0.0066678247563467085,0.0023785076487244736,0.23275188965490087,0.001347764222307464,0.0017222904848943946,0.0005117275006228612,2.3297369874664584,0.034177162349496186,0.14467777777777777,-0.024014371756142353
700,2.0,1e-06,4,20,0.1,1.0,0.6267891766773853,0.021919426081637876,0.010656721741059869,0.013725322904065251,0.00028347058563309293,0.03844498585240321,0.01838591976565284,0.195110333210323,0.002601320653450339,0.5050000000000001,-0.047417520249578356
1000,2.0,1e-06,4,20,0.1,1.0,0.608042161707475,0.016366118189587546,0.007039923854427338,0.021013310505077244,0.00044173675301413865,0.014256701827709098,0.007068623786238701,0.2916958896094002,0.003324628628764171,0.43571428571428567,-0.05911773857052875
2000,2.0,1e-06,4,20,0.1,1.0,0.5727742909492642,0.010581658238238086,0.0037183494912053183,0.05608184364391491,0.00046784835956540115,0.0038307077860325377,0.001723029546678896,0.7220033874735237,0.005051348723675541,0.28325000000000006,-0.029404976124717118
5000,2.0,1e-06,4,20,0.1,1.0,0.5286066829016156,0.00525713998399806,0.0018779426327503366,0.23229516876162962,0.0015265720095963451,0.0017043480366760687,0.0005063157521825295,2.3393045979202727,0.0481575260358494,0.13635555555555554,-0.021866318730345564
