n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
300,0.1,0,300010,0.23345016834650423,0.31006054201861843,2026-01-26 23:35:55
300,0.1,1,300011,0.13954424016923905,0.2485917080193758,2026-01-26 23:35:55
300,0.1,3,300013,0.1716027311213757,0.14143579197116196,2026-01-26 23:35:55
300,0.1,2,300012,0.4088589743174281,0.18956462503410876,2026-01-26 23:35:56
300,0.1,4,300014,0.5613680744562269,0.18889629101613536,2026-01-26 23:35:56
300,0.1,6,300016,0.20168061004631282,0.17979437502799556,2026-01-26 23:35:56
300,0.1,5,300015,0.1532003345976844,0.21913650003261864,2026-01-26 23:35:56
300,0.1,7,300017,0.1465582404473895,0.1437845830223523,2026-01-26 23:35:56
300,0.1,9,300019,0.25463029540219434,0.15843875001883134,2026-01-26 23:35:56
300,0.1,10,300020,0.12826880234604465,0.1640250000054948,2026-01-26 23:35:56
300,0.1,11,300021,0.7237227558781888,0.14335199998458847,2026-01-26 23:35:56
300,0.1,8,300018,0.15612139306125827,0.18362333299592137,2026-01-26 23:35:56
300,0.1,12,300022,0.10529767097272663,0.11941304203355685,2026-01-26 23:35:56
300,0.1,13,300023,0.14106010293971225,0.12174579198472202,2026-01-26 23:35:56
300,0.1,14,300024,0.17141462272123395,0.12767658301163465,2026-01-26 23:35:56
300,0.1,16,300026,0.16503867492257465,0.09621629200410098,2026-01-26 23:35:56
300,0.1,15,300025,0.3702897086393916,0.1255154170212336,2026-01-26 23:35:56
300,0.1,18,300028,0.38764969183679665,0.10442833398701623,2026-01-26 23:35:56
300,0.1,17,300027,0.5570364957323485,0.11310099996626377,2026-01-26 23:35:56
300,0.1,19,300029,0.18273636177817296,0.10913425002945587,2026-01-26 23:35:56
300,0.2,0,300020,0.0662168509376294,0.1299407919868827,2026-01-26 23:36:01
300,0.2,2,300022,0.04829964255697027,0.1025531250052154,2026-01-26 23:36:01
300,0.2,6,300026,0.05978949258817182,0.11200454097706825,2026-01-26 23:36:01
300,0.2,1,300021,0.19385765831587623,0.14647487498586997,2026-01-26 23:36:01
300,0.2,4,300024,0.032738826420391866,0.13789725000970066,2026-01-26 23:36:01
300,0.2,8,300028,0.07321966711263858,0.12956795800710097,2026-01-26 23:36:01
300,0.2,5,300025,0.07087320551344556,0.16117387503618374,2026-01-26 23:36:01
300,0.2,3,300023,0.06304789164206825,0.17831654200563207,2026-01-26 23:36:01
300,0.2,7,300027,0.06196389475542259,0.178378792013973,2026-01-26 23:36:01
300,0.2,10,300030,0.03798407772245845,0.09754687501117587,2026-01-26 23:36:01
300,0.2,9,300029,0.047961621373101275,0.12858704198151827,2026-01-26 23:36:01
300,0.2,11,300031,0.115956631634521,0.11792858300032094,2026-01-26 23:36:01
300,0.2,12,300032,0.06789473440059232,0.12761008401867002,2026-01-26 23:36:01
300,0.2,13,300033,0.13159937098643534,0.12387037498410791,2026-01-26 23:36:01
300,0.2,14,300034,0.023619349404174556,0.10663437499897555,2026-01-26 23:36:01
300,0.2,16,300036,0.08835851837926752,0.10561479203170165,2026-01-26 23:36:01
300,0.2,15,300035,0.04126352522459686,0.1344136250554584,2026-01-26 23:36:01
300,0.2,18,300038,0.044298744554042646,0.097997083037626,2026-01-26 23:36:01
300,0.2,17,300037,0.06699020915406645,0.11717791698174551,2026-01-26 23:36:01
300,0.2,19,300039,0.04368379240092599,0.10295054200105369,2026-01-26 23:36:01
300,0.5,0,300050,0.0073735743950742805,0.28820437501417473,2026-01-26 23:36:07
300,0.5,4,300054,0.00672963393517759,0.24193199997534975,2026-01-26 23:36:07
