n_samples,epsilon,run_idx,data_seed,pms_mse,pms_runtime_s,timestamp
200,0.1,0,70001000,0.0,0.019329917151480913,2026-03-07 20:14:58
200,0.1,1,70001001,0.0,0.020217375131323934,2026-03-07 20:14:58
200,0.1,2,70001002,0.0,0.029366582864895463,2026-03-07 20:14:58
200,0.1,3,70001003,0.0,0.018653459148481488,2026-03-07 20:14:59
200,0.1,5,70001005,0.0,0.015065375017002225,2026-03-07 20:14:59
200,0.1,4,70001004,0.0,0.017332708928734064,2026-03-07 20:14:59
200,0.1,6,70001006,0.0,0.021404040977358818,2026-03-07 20:14:59
200,0.1,7,70001007,0.0,0.013965916819870472,2026-03-07 20:14:59
200,0.1,11,70001011,0.0,0.010128833120688796,2026-03-07 20:14:59
200,0.1,9,70001009,0.0,0.018947500037029386,2026-03-07 20:14:59
200,0.1,8,70001008,0.0,0.012706374982371926,2026-03-07 20:14:59
200,0.1,10,70001010,0.0,0.008307416923344135,2026-03-07 20:14:59
200,0.1,12,70001012,0.0,0.008542250143364072,2026-03-07 20:14:59
200,0.1,13,70001013,0.0,0.016134082805365324,2026-03-07 20:14:59
200,0.1,15,70001015,0.0,0.011754499981179833,2026-03-07 20:14:59
200,0.1,14,70001014,0.0,0.01719245803542435,2026-03-07 20:14:59
200,0.1,16,70001016,0.0,0.01878325012512505,2026-03-07 20:14:59
200,0.1,17,70001017,0.0,0.02887487504631281,2026-03-07 20:14:59
200,0.1,19,70001019,0.0,0.015660124830901623,2026-03-07 20:14:59
200,0.1,18,70001018,0.0,0.013897374970838428,2026-03-07 20:14:59
200,0.2,0,70002000,0.0,0.008483000099658966,2026-03-07 20:15:01
200,0.2,2,70002002,0.0,0.01600520801730454,2026-03-07 20:15:01
200,0.2,1,70002001,0.0,0.02771362499333918,2026-03-07 20:15:01
200,0.2,3,70002003,0.0,0.01364312507212162,2026-03-07 20:15:01
200,0.2,4,70002004,0.0,0.02102654194459319,2026-03-07 20:15:01
200,0.2,5,70002005,0.0,0.013087916886433959,2026-03-07 20:15:01
200,0.2,7,70002007,0.0,0.013403707882389426,2026-03-07 20:15:01
200,0.2,8,70002008,0.0,0.017479583155363798,2026-03-07 20:15:01
200,0.2,6,70002006,0.0,0.020253874827176332,2026-03-07 20:15:01
200,0.2,9,70002009,0.0,0.014911375008523464,2026-03-07 20:15:01
200,0.2,10,70002010,0.0,0.02594837499782443,2026-03-07 20:15:01
200,0.2,12,70002012,0.0,0.008406040957197547,2026-03-07 20:15:01
200,0.2,15,70002015,0.0,0.008674749871715903,2026-03-07 20:15:01
200,0.2,11,70002011,0.0,0.00866716611199081,2026-03-07 20:15:01
200,0.2,13,70002013,0.0,0.014007416786625981,2026-03-07 20:15:01
200,0.2,14,70002014,0.0,0.01945645804516971,2026-03-07 20:15:01
200,0.2,16,70002016,0.0,0.012092958204448223,2026-03-07 20:15:01
200,0.2,17,70002017,0.0,0.017791375052183867,2026-03-07 20:15:01
200,0.2,19,70002019,0.0,0.009245583089068532,2026-03-07 20:15:01
200,0.2,18,70002018,0.0,0.016804999904707074,2026-03-07 20:15:01
200,0.5,0,70005000,0.0,0.013966541970148683,2026-03-07 20:15:04
200,0.5,1,70005001,0.0,0.016717459075152874,2026-03-07 20:15:04
200,0.5,3,70005003,0.0,0.011788666946813464,2026-03-07 20:15:04
200,0.5,2,70005002,0.0,0.013885832857340574,2026-03-07 20:15:04
200,0.5,4,70005004,0.0,0.01905016601085663,2026-03-07 20:15:04
200,0.5,5,70005005,0.0,0.01655054115690291,2026-03-07 20:15:04
200,0.5,7,70005007,0.0,0.020169417141005397,2026-03-07 20:15:04
200,0.5,10,70005010,0.0,0.013903792016208172,2026-03-07 20:15:04
200,0.5,6,70005006,0.0,0.018052542116492987,2026-03-07 20:15:04
200,0.5,9,70005009,0.0,0.009583374951034784,2026-03-07 20:15:04
200,0.5,8,70005008,0.0,0.028044375125318766,2026-03-07 20:15:04
200,0.5,11,70005011,0.0,0.01975116692483425,2026-03-07 20:15:04
200,0.5,12,70005012,0.0,0.010490792104974389,2026-03-07 20:15:04
200,0.5,16,70005016,0.0,0.008816084126010537,2026-03-07 20:15:04
200,0.5,14,70005014,0.0,0.015834083082154393,2026-03-07 20:15:04
200,0.5,15,70005015,0.0,0.009549415903165936,2026-03-07 20:15:04
200,0.5,13,70005013,0.0,0.011935458052903414,2026-03-07 20:15:04
200,0.5,17,70005017,0.0,0.020603874931111932,2026-03-07 20:15:04
200,0.5,19,70005019,0.0,0.017454582965001464,2026-03-07 20:15:04
200,0.5,18,70005018,0.0,0.022388584213331342,2026-03-07 20:15:04
