Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-KMeans,0.001,6,1047,0.1089560002613474,0.18991144258548406,0.008836196,1222.8086740407132,0.4321410655975342,2025-12-04 22:43:23
DP-KMeans,0.001,2,1043,0.05953524143035919,0.18520725489458228,-0.013177447,1019.8039539646263,0.5153532028198242,2025-12-04 22:43:23
DP-KMeans,0.001,0,1041,0.07455263805481899,0.18581893601088306,0.0060294615,1166.5338829391428,0.5636439323425293,2025-12-04 22:43:23
DP-KMeans,0.001,3,1044,0.01401738571156982,0.12300364688844334,0.025206309,1149.3261538591466,0.551008939743042,2025-12-04 22:43:23
DP-KMeans,0.001,1,1042,0.07320654325308813,0.2038742723442863,-0.007907366,998.2010365622067,0.6149969100952148,2025-12-04 22:43:23
DP-KMeans,0.001,4,1045,0.07258899391465962,0.16236382833975893,-0.035275355,1073.6370516111876,0.597620964050293,2025-12-04 22:43:23
DP-KMeans,0.001,5,1046,0.07797787984319257,0.17874315755570727,-0.030466987,1014.0078111363176,0.6036679744720459,2025-12-04 22:43:23
DP-KMeans,0.001,7,1048,0.00866066501756488,0.10364026126240793,-0.047024738,1129.1798328814064,0.6052401065826416,2025-12-04 22:43:23
DP-KMeans,0.001,8,1049,0.07465448772748676,0.18912553665892148,-0.012313638,858.5925359845617,0.5722949504852295,2025-12-04 22:43:23
DP-KMeans,0.001,9,1050,0.07049091214437739,0.17153279322934514,-0.013816388,941.7744658530315,0.5944559574127197,2025-12-04 22:43:23
DP-KMeans,0.001,11,1052,0.03447549648949921,0.13232395251499898,0.0058763823,1023.8334058744147,0.5448968410491943,2025-12-04 22:43:23
DP-KMeans,0.001,10,1051,0.08259411443752974,0.18771790497925434,-0.046970658,1190.735000305377,0.5901148319244385,2025-12-04 22:43:24
DP-KMeans,0.001,12,1053,0.05338168429307753,0.15017642347084553,-0.0026350068,1163.82849495338,0.5435659885406494,2025-12-04 22:43:24
DP-KMeans,0.001,14,1055,0.06174422761205148,0.15375435308843366,-0.03065399,1135.4030182789916,0.5111641883850098,2025-12-04 22:43:24
DP-KMeans,0.001,13,1054,0.10228815293659904,0.19401404396965422,0.001258039,974.5037615495078,0.6183347702026367,2025-12-04 22:43:24
DP-KMeans,0.001,15,1056,0.04074060961605449,0.160681128285341,-0.0041294075,1062.6624130390385,0.597153902053833,2025-12-04 22:43:24
DP-KMeans,0.001,16,1057,0.03973775284359674,0.11799654737022945,0.007123534,1199.6645843215235,0.41757917404174805,2025-12-04 22:43:24
DP-KMeans,0.001,17,1058,0.06803844409404293,0.19570668002051442,-0.018494375,1118.053594451405,0.43859386444091797,2025-12-04 22:43:24
DP-KMeans,0.001,19,1060,0.005987324443749456,0.11255958191710187,-0.052155603,1170.3907659337706,0.4200131893157959,2025-12-04 22:43:24
DP-KMeans,0.001,18,1059,0.055794314463463945,0.1575410083573859,0.01961784,1176.949027543631,0.4284830093383789,2025-12-04 22:43:24
DP-KMeans,0.01,0,1041,0.09795862014715873,0.19845225571731012,0.0057329326,1068.3348821168988,0.46703600883483887,2025-12-04 22:43:31
DP-KMeans,0.01,1,1042,0.07153700121042712,0.17318440554394332,-0.05227071,983.3155097696014,0.4472529888153076,2025-12-04 22:43:31
DP-KMeans,0.01,6,1047,0.014396336348353998,0.10107867136524117,-0.013180864,840.0305136414054,0.4219069480895996,2025-12-04 22:43:32
DP-KMeans,0.01,3,1044,0.08118010623295548,0.16181016192249967,-0.0398297,912.0452010953608,0.5649096965789795,2025-12-04 22:43:32
DP-KMeans,0.01,2,1043,0.057446984283339456,0.17193673397381218,-0.03237627,1109.8003898177983,0.5704588890075684,2025-12-04 22:43:32
DP-KMeans,0.01,4,1045,0.06879422251698468,0.18632461352881258,0.0047014486,1091.8917372012895,0.5477211475372314,2025-12-04 22:43:32
DP-KMeans,0.01,7,1048,0.08219253050590129,0.1893965209495671,-0.002053813,1217.292861165772,0.569119930267334,2025-12-04 22:43:32
DP-KMeans,0.01,5,1046,0.006481727682132222,0.09282531402764123,-0.06258716,970.2513141273146,0.6031689643859863,2025-12-04 22:43:32
DP-KMeans,0.01,9,1050,0.0009997503773882387,0.042473822503976896,-0.02207525,873.2887058197173,0.5476319789886475,2025-12-04 22:43:32
DP-KMeans,0.01,8,1049,0.09048194174489184,0.19943064610571445,-0.010936165,1140.1341659241452,0.5670390129089355,2025-12-04 22:43:32
DP-KMeans,0.01,11,1052,0.032134640731759784,0.12130568820992967,-0.038334493,980.2451488373317,0.49896693229675293,2025-12-04 22:43:32
DP-KMeans,0.01,10,1051,0.15805555264396248,0.27141717788103775,-0.035008498,1029.8254438148938,0.5657110214233398,2025-12-04 22:43:32
DP-KMeans,0.01,12,1053,0.03103950995431586,0.12027087598337773,-0.03354675,1134.381276372318,0.49077415466308594,2025-12-04 22:43:32
DP-KMeans,0.01,15,1056,0.07782118351686276,0.19256217930281788,0.01896961,1137.4148398473894,0.49498891830444336,2025-12-04 22:43:32
DP-KMeans,0.01,13,1054,0.00982250212447524,0.09329488987955369,-0.040860645,1031.8411732003087,0.5539569854736328,2025-12-04 22:43:32
DP-KMeans,0.01,14,1055,0.05676699903153189,0.14880455301650916,0.013875626,1007.7089010957891,0.5895538330078125,2025-12-04 22:43:32
DP-KMeans,0.01,16,1057,0.08650577255111076,0.19457772606007795,-0.018210275,1079.7309095537855,0.44161295890808105,2025-12-04 22:43:33
DP-KMeans,0.01,17,1058,0.13040491151567937,0.22932229975800952,0.019048281,1067.5571316374392,0.44806408882141113,2025-12-04 22:43:33
DP-KMeans,0.01,19,1060,0.0869748875674733,0.1942143214004812,-0.013799191,1104.2823948502282,0.4058108329772949,2025-12-04 22:43:33
DP-KMeans,0.01,18,1059,0.05364964485792323,0.18954546212512763,0.0027898522,1143.0505182465565,0.42215585708618164,2025-12-04 22:43:33
DP-KMeans,0.1,0,1041,0.09876074707035057,0.18632079701775828,0.008980353,1110.663688941418,0.48536181449890137,2025-12-04 22:43:40
DP-KMeans,0.1,5,1046,0.04054770144017424,0.13175561263981658,-0.049917415,918.9738137469727,0.410632848739624,2025-12-04 22:43:40
DP-KMeans,0.1,1,1042,0.06305864656961528,0.17198805519209323,-0.02374958,969.9258129120077,0.5054373741149902,2025-12-04 22:43:40
DP-KMeans,0.1,3,1044,0.08083766344583619,0.19058037457266516,-0.043923765,1008.0500376560589,0.5339829921722412,2025-12-04 22:43:40
DP-KMeans,0.1,2,1043,0.08432037097918225,0.20950786502014912,0.005969772,1015.6316304632928,0.5423378944396973,2025-12-04 22:43:40
DP-KMeans,0.1,4,1045,0.03521223287546767,0.14343372493240267,0.006989044,1083.6086921817985,0.49852800369262695,2025-12-04 22:43:40
DP-KMeans,0.1,7,1048,0.06801993983510479,0.1752058568190667,-0.04239235,1030.7714008334187,0.5441312789916992,2025-12-04 22:43:40
DP-KMeans,0.1,6,1047,0.021777428304290053,0.14399509282904738,0.03207111,1175.3624835093422,0.5922207832336426,2025-12-04 22:43:40
DP-KMeans,0.1,8,1049,0.010041720267501532,0.1002974456196475,-0.04433675,1122.7998871824084,0.46239280700683594,2025-12-04 22:43:41
DP-KMeans,0.1,9,1050,0.09554851699644949,0.20538163267826767,-0.04430675,1015.2441547771205,0.49097204208374023,2025-12-04 22:43:41
DP-KMeans,0.1,10,1051,0.06789814037641378,0.13794820733777,-0.021345062,1012.0691913147817,0.5012271404266357,2025-12-04 22:43:41
DP-KMeans,0.1,13,1054,0.07608165507185942,0.17762502844283404,-0.05636597,1081.3454458254328,0.4914419651031494,2025-12-04 22:43:41
DP-KMeans,0.1,12,1053,0.15167946965950893,0.2566951891354034,0.016351081,1061.499911812391,0.5260269641876221,2025-12-04 22:43:41
DP-KMeans,0.1,14,1055,0.0321773797964578,0.18457630491513954,-0.095629625,1041.775263647988,0.4812197685241699,2025-12-04 22:43:41
DP-KMeans,0.1,11,1052,0.0647511398297431,0.19906957823607127,-0.021208296,1028.7532591697025,0.5431087017059326,2025-12-04 22:43:41
DP-KMeans,0.1,15,1056,0.08421287989446569,0.2179101158815004,-0.050813943,1044.3219970573941,0.5369749069213867,2025-12-04 22:43:41
