n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,DP_runtime_mean,DP_runtime_std
300,0.1,0.22306990717503505,0.03053321832192857,0.0,0.050987170776352286,0.01073441590321284
300,0.2,0.052285514346208074,0.006214666953163623,0.0,0.051305124838836494,0.009879064238271932
300,0.5,0.008237466888231007,0.0007651042779960248,0.0,0.0457694852957502,0.007924595098539211
300,1.0,0.0031232111589535373,0.00033665222263139867,0.0,0.046488370816223326,0.0074705281852703205
600,0.1,0.09245081772109842,0.012487920031344883,0.0,0.16588673116639258,0.029212565784743124
600,0.2,0.017153920339123368,0.0015241430152085952,0.0,0.12224782502744347,0.022396648520196336
600,0.5,0.003930006278114551,0.0003269482726637102,0.0,0.12151292068883776,0.018905047348171052
600,1.0,0.0017173840175418846,0.0001753329256449265,0.0,0.12410127713810652,0.016492459857944758
1200,0.1,0.03369440315614815,0.004992482399152511,0.0,0.3265378312440589,0.049416236030574434
1200,0.2,0.00787501123133443,0.000704601551351534,0.0,0.3312856188509613,0.049983197590927494
1200,0.5,0.0018150149542472225,0.00012562940715712387,0.0,0.3255267062690109,0.047256623020016195
1200,1.0,0.0010835331890037942,0.00010792359137716893,0.0,0.32336992693599315,0.05355767372745827
2100,0.1,0.01218973352021085,0.001495327233363759,0.0,0.730171658238396,0.12356005097459298
2100,0.2,0.0034169196029611585,0.00032507449213189406,0.0,0.8041943956864998,0.1915377479779694
2100,0.5,0.0008656979544277635,5.74215602570378e-05,0.0,0.8162662437418475,0.16494884719232433
2100,1.0,0.0005791055774879843,6.437560550133336e-05,0.0,0.8462678290670738,0.19087985001859425
