n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,PMS_runtime_mean,PMS_runtime_std,DP_runtime_mean,DP_runtime_std
200,0.1,0.558438560983378,0.0854683696566719,0.0,0.008438833989202976,0.0,0.031082274834625424,0.006317379046947683
200,0.2,0.1591715700997894,0.026525778554345274,0.0,0.008438833989202976,0.0,0.029341993620619178,0.003970058526093062
200,0.5,0.027364879232303317,0.002882168190899526,0.0,0.008438833989202976,0.0,0.028769029141403734,0.004020728291554749
200,1.0,0.009320115406906589,0.0005348448534122546,0.0,0.008438833989202976,0.0,0.02992134790401906,0.004972445945165383
500,0.1,0.11106047885163299,0.014607885239479229,0.0,0.02705508377403021,0.0,0.10365773139055819,0.017945123295774305
500,0.2,0.037956612108605466,0.0036538683478172553,0.0,0.02705508377403021,0.0,0.09991823337040842,0.016487486347460622
500,0.5,0.00786446211052234,0.0007278494847660972,0.0,0.02705508377403021,0.0,0.09590802085585892,0.01856072653708582
500,1.0,0.003612875117131445,0.00018798064242394455,0.0,0.02705508377403021,0.0,0.09814779167063534,0.015396567906670823
1000,0.1,0.03540910303961267,0.0021184780939877434,0.0,0.06949054077267647,0.0,0.23783198117744178,0.04760830727447356
1000,0.2,0.008490496455971153,0.000635575518911889,0.0,0.06949054077267647,0.0,0.23826226871460676,0.03775585399703396
1000,0.5,0.0026999121774067313,0.00017234856053849196,0.0,0.06949054077267647,0.0,0.23288683129940183,0.04435566018827732
1000,1.0,0.001340707910732077,4.853544734288565e-05,0.0,0.06949054077267647,0.0,0.23251160408835858,0.038883014117395066
2000,0.1,0.017695213688238797,0.0028858792135315245,0.0,0.22419887501746416,0.0,0.6936648543458432,0.13360407201466248
2000,0.2,0.004507022534057488,0.00038704785396200995,0.0,0.22419887501746416,0.0,0.6641192457871512,0.11413191932939971
2000,0.5,0.0012577193119237679,0.00010418235700777069,0.0,0.22419887501746416,0.0,0.6480982687557116,0.11024972395262353
2000,1.0,0.0005302609045953444,2.04338973958958e-05,0.0,0.22419887501746416,0.0,0.6640774521743879,0.11171309637296023
